#,Chapter,Role,Name (Country)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Editor,Julian Allwood (UK)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Editor,Valentina Bosetti (Italy)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Editor,Navroz K. Dubash (India)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Editor,Luis Gómez-Echeverri (Colombia/Austria)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Editor,Christoph von Stechow (Germany)
,,,
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Giovanni Baiocchi (Italy/USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,John Barrett (UK)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,John Broome (UK)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Steffen Brunner (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Martha Micheline Cariño Olvera (Mexico)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Harry Clark (New Zealand)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Leon Clarke (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Esteve Corbera (Spain)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Felix Creutzig (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Marcio DAgosto (Brazil)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Gian Carlo Delgado (Mexico)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Manfred Fischedick (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Marc Fleurbaey (France/USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Don Fullerton (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Richard Harper (Australia)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Edgar Hertwich (Austria/Norway)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Damon Robert Honnery (Australia)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Michael Jakob (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Charles Kolstad (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Elmar Kriegler (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Howard Kunreuther (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Oswaldo Lucon (Brazil)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Andreas Loeschel (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Axel Michaelowa (Germany/Switzerland)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Jan Minx (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Luis Mundaca (Chile/Sweden)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Jin Murakami (Japan/China)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Jos Olivier (Netherlands)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Michael Rauscher (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Keywan Riahi (Austria)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,H.-Holger Rogner (Germany/Austria)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Steffen Schloemer (Germany)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Ralph Sims (New Zealand)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Pete Smith (UK)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,David Stern (Australia)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Neil Strachan (UK)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Kevin Urama (Nigeria/Kenya)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Diana Ürge-Vorsatz (Hungary)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,David Victor (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Elke Weber (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Jonathan Wiener (USA)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Mitsutsune Yamaguchi (Japan)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Azni Zain Ahmed (Malaysia)
ANNEX I,"Glossary, Acronyms and Chemical Symbols",Glossary Contributor,Heleen de Coninck (Netherlands)
